Player	Max Consecutive Strikeouts	Start of Sequence
Libster	317	86840
IAMJEFF	191	88954
Valetta6789	191	88954
florrat2	186	35821
RaKXeR	154	254902
Razvogor	151	67791
Zamiel	133	81503
NoMercy	106	34222
Dr_Kakashi	102	255580
sankala	102	4457
padi	83	254076
Fireheart	63	75882
dj.narayanan	62	499078
indego	60	435063
Jake_Stiles	60	330893
Kyle	60	70105
anser	56	346841
kimbifille	56	316140
sin_faith	49	295646
qwertyelmer	47	146042
StKildaFan	46	485966
sjdrodge	45	28807
TheDaniMan	43	496517
MasN	40	89619
willwin4sure	37	326996
asaelr	35	251674
kopen	34	64607
derekcheah	33	403853
Durandal	33	496137
Lel0uch	33	403853
Nitrate2	33	249787
squirrel1988	31	496137
nitawa	29	412462
hakha3	28	408700
newduke	28	309918
timotree	28	299131
vEnhance	28	309918
avanderwalde	27	353733
jeff10	24	485966
melwen	24	434504
qqqq	24	8817
scharkbite	24	14642
bjnh	23	495795
Livia	23	369995
swineherd	23	331302
Lanvin	22	416387
ChristopheAF	21	466926
invarse	21	129003
methmatics	21	284431
rachyrules	21	335653
antitelharsic	20	520284
Div	20	220630
Instantiation	20	6944
Pablo-	20	460548
pianoblook	20	208260
VerySloppyTwo	20	434574
duckington	19	415548
Floriman	19	64530
piper	19	313240
BlueNovember	18	278790
Bonja97	18	336023
Fey	18	388292
HelanaAshryvr	18	476009
MarkusKahlsen	18	474105
micerang	18	66141
will.i.am	18	186899
katian	17	506531
rkass	17	190975
sephiroth	17	474729
Wittvector	17	440765
cockdestroyer	16	334042
DarthGandalf	16	468538
Denchulitas	16	487265
MangoPie	16	475756
skyblueexo	16	480144
Zakisan	16	251739
ADrone	15	325173
catula	15	335203
orucsoraihc	15	315017
TimeHoodie	15	372290
Asddsa76	14	415273
colton	14	411647
duckmammal	14	167399
eliclax	14	460122
rz	14	471375
Aluap	13	337608
CaitlinSmith	13	491526
emilyzhao	13	336168
Kernel	13	426690
Animex52	12	509193
boba	12	490163
possum	12	441859
Smandon	12	326214
Sucubis	12	52520
dobi	11	448109
duckless	11	434694
fishcat	11	245260
IsabeltheCat	11	424822
wolfpack	11	507651
wortel	11	434559
aquarelle	10	522128
dmigor3	10	380994
jack67889	10	403150
MathNoob	10	439971
rs1	10	238013
Syrah	10	495103
wump	10	370594
ksfortson	9	450302
Nitrate	9	444704
nkkarpov	9	390757
Spieler42	9	447995
Anax	8	101705
FerKeth	8	493814
Pimak	8	433281
duckmedic	7	350985
Bot-Fiora	6	481059
corys	6	519300
Damian000	5	391772
Daryl	5	404295
HariKrishnan	5	404246
Cynas	3	266877
