Player	Game with Worst %Max Score	Score	Max Score
Asddsa76	18635	9	30
florrat2	18635	9	30
Aluap	177191	13	30
antitelharsic	177191	13	30
Bonja97	238776	10	20
Libster	18738	16	30
emilyzhao	263942	14	25
Animex52	115692	15	25
anser	54855	15	25
aquarelle	363114	9	15
BlueNovember	308771	9	15
boba	363114	9	15
catula	294660	15	25
Div	116286	9	15
Durandal	357715	15	25
FerKeth	363114	9	15
HelanaAshryvr	363114	9	15
newduke	205969	15	25
RaKXeR	9539	18	30
scharkbite	16518	15	25
StKildaFan	294660	15	25
Wittvector	229076	9	15
Zamiel	9539	18	30
derekcheah	177961	19	30
Fireheart	76200	19	30
IsabeltheCat	257477	19	30
Valetta6789	185268	19	30
Zakisan	177961	19	30
asaelr	58994	16	25
CaitlinSmith	123613	16	25
DarthGandalf	455783	16	25
Jake_Stiles	53571	16	25
melwen	230623	16	25
Nitrate2	230623	16	25
qqqq	8210	16	25
rkass	346661	16	25
sephiroth	230623	16	25
timotree	231317	16	25
Denchulitas	445407	13	20
avanderwalde	388703	20	30
corys	475296	10	15
Dr_Kakashi	182043	10	15
Fey	165721	10	15
Floriman	436010	20	30
hakha3	351758	10	15
IAMJEFF	69227	10	15
invarse	106075	10	15
jack67889	351758	10	15
jeff10	301147	10	15
kimbifille	165721	10	15
ksfortson	299349	20	30
Kyle	182043	10	15
Lanvin	475296	10	15
Livia	386352	20	30
MarkusKahlsen	351758	10	15
methmatics	375974	20	30
nkkarpov	434150	10	15
pianoblook	388703	20	30
piper	264127	10	15
rs1	264127	10	15
sjdrodge	35048	10	15
Sucubis	52351	10	15
swineherd	215374	10	15
Syrah	516686	10	15
TheDaniMan	188328	10	15
TimeHoodie	301147	10	15
vEnhance	349742	20	30
willwin4sure	296778	10	15
wump	299349	20	30
Damian000	390330	17	25
eliclax	467871	17	25
indego	403098	17	25
Lel0uch	403098	17	25
NoMercy	38804	17	25
Pablo-	403098	17	25
padi	177177	17	25
rachyrules	347813	17	25
will.i.am	260982	17	25
ADrone	244991	21	30
bjnh	494087	21	30
cockdestroyer	502773	21	30
dj.narayanan	262745	21	30
dobi	422822	21	30
Kernel	413876	21	30
MangoPie	413876	21	30
micerang	44651	21	30
HariKrishnan	369131	18	25
MasN	72045	18	25
MathNoob	439971	18	25
nitawa	400148	18	25
orucsoraihc	478877	18	25
Pimak	399154	18	25
qwertyelmer	176490	18	25
rz	456989	18	25
sin_faith	512036	18	25
VerySloppyTwo	347931	18	25
wolfpack	506468	18	25
wortel	247874	18	25
Bot-Fiora	469724	11	15
ChristopheAF	404466	11	15
colton	396461	11	15
duckington	434371	11	15
duckless	255290	22	30
fishcat	167770	22	30
kopen	58791	22	30
Nitrate	418067	11	15
possum	414491	22	30
skyblueexo	428765	11	15
Spieler42	416893	11	15
squirrel1988	457335	22	30
katian	382681	15	20
Daryl	395799	19	25
duckmammal	77153	19	25
Anax	98659	23	30
Cynas	207493	23	30
Instantiation	4140	23	30
sankala	11768	23	30
Smandon	205583	23	30
dmigor3	282968	24	30
duckmedic	350623	20	25
Razvogor	41040	24	30
