511032	5	30	Muddy Rainbow (6 Suits)	2021-04-24 — 04:05:14 UTC	Aluap, kinkajusrevenge, scharkbite, timotree, wolfpack	5	6	30
508848	3	25	Null (5 Suits)	2021-04-21 — 22:36:32 UTC	dobi, duckless, scharkbite	27	5	25
508832	3	0	Null (5 Suits)	2021-04-21 — 22:14:53 UTC	duckless, Floriman, scharkbite	13	5	25
508818	3	0	Null (5 Suits)	2021-04-21 — 21:53:06 UTC	duckless, Floriman, scharkbite	13	5	25
508804	5	0	Null (5 Suits)	2021-04-21 — 21:24:17 UTC	ChristopheAF, duckless, Floriman, MangoPie, scharkbite	2	5	25
508790	5	0	Null (5 Suits)	2021-04-21 — 21:06:01 UTC	ChristopheAF, duckless, Floriman, MangoPie, scharkbite	2	5	25
506827	4	30	Muddy Rainbow & Dark Prism (6 Suits)	2021-04-19 — 19:46:40 UTC	dobi, Lanvin, scharkbite, Valetta6789	2	6	30
506813	2	26	Cocoa Rainbow (6 Suits)	2021-04-19 — 19:25:39 UTC	Lanvin, scharkbite	36	6	30
505918	3	0	Null (5 Suits)	2021-04-18 — 23:20:41 UTC	asaelr, Floriman, scharkbite	12	5	25
505911	3	24	Null (5 Suits)	2021-04-18 — 23:04:11 UTC	asaelr, Floriman, scharkbite	12	5	25
505884	3	25	Null (5 Suits)	2021-04-18 — 22:41:57 UTC	asaelr, Floriman, scharkbite	12	5	25
505850	3	24	Null (5 Suits)	2021-04-18 — 22:21:41 UTC	asaelr, Floriman, scharkbite	12	5	25
505832	3	0	Null (5 Suits)	2021-04-18 — 22:09:36 UTC	asaelr, Floriman, scharkbite	5	5	25
505822	3	0	Null (5 Suits)	2021-04-18 — 22:02:37 UTC	asaelr, Floriman, scharkbite	5	5	25
505797	3	0	Null (5 Suits)	2021-04-18 — 21:48:52 UTC	asaelr, Floriman, scharkbite	5	5	25
505778	3	0	Null (5 Suits)	2021-04-18 — 21:39:03 UTC	asaelr, Floriman, scharkbite	6	5	25
504233	3	30	Rainbow & Muddy Rainbow (6 Suits)	2021-04-17 — 17:18:13 UTC	Lel0uch, MarkusKahlsen, scharkbite	2	6	30
504223	3	0	Rainbow & Muddy Rainbow (6 Suits)	2021-04-17 — 16:57:40 UTC	Lel0uch, MarkusKahlsen, scharkbite	2	6	30
504208	3	0	Rainbow & Muddy Rainbow (6 Suits)	2021-04-17 — 16:34:12 UTC	Lel0uch, MarkusKahlsen, scharkbite	2	6	30
502082	3	25	Null (5 Suits)	2021-04-15 — 19:23:58 UTC	asaelr, Floriman, scharkbite	5	5	25
